"depth","cum.catch","cum"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0.0228671503784791,0.00630692772753931
12,0.0400175131623383,0.0280658283875499
13,0.0628846635408174,0.0438331477063982
14,0.116785803718661,0.0586994773498837
15,0.161376746956695,0.106260410872803
16,0.184243897335174,0.17411238664064
17,0.277882569185681,0.301442338865292
18,0.367168785966393,0.505354762467579
19,0.459731544423874,0.759271764263857
20,0.571196730650084,0.987207274293825
21,0.843830739185115,1.3453627033487
22,0.945793487057714,1.73881501535026
23,1.09335487997842,2.08619237792763
24,1.52074209158548,2.63939633915362
25,1.94011180652888,3.13452577068618
26,2.24669604159973,3.94108759395788
27,2.72051263323927,4.64682005158326
28,3.14000611408803,5.34478556641211
29,3.53515434938264,6.11318953205805
30,3.76387630280406,7.19707806716938
31,3.93546886795153,8.10886022513034
32,4.17447078222892,9.34533549312843
33,4.63738297566704,10.7209658905029
34,4.89780828615932,11.8835263884717
35,5.25375498178771,13.0259645205599
36,5.66414494686477,14.0953449407593
37,5.9617562056253,15.0170651763687
38,6.37703614192838,15.9066781638827
39,6.77915147515156,16.997988801322
40,7.15010191591744,18.0655315084885
41,7.52649709251336,19.2886199282109
42,7.95718621055183,20.4199755613748
43,8.68885794366213,21.5279544521693
44,9.18761768770928,22.8838350043369
45,9.73060823590461,24.2064033422853
46,10.2283462841105,25.43200674968
47,10.8710600133165,26.6155366266232
48,11.622491735093,27.8327491508955
49,12.3839799860597,28.9762051641361
50,12.8253182117971,30.0109938185324
51,13.5100149686916,30.6988322781343
52,14.0743310872449,31.8380134620223
53,15.1901605136832,33.2153623720422
54,16.2898294039765,34.5808820714094
55,17.4263284881198,35.9189898410421
56,18.8107593624626,36.9632467071745
57,20.0635875914501,38.2358537252973
58,20.9303525312448,39.5956517256821
59,21.8282542518439,40.646584760371
60,23.1512978020564,42.0511055982433
61,23.7860772400997,43.2033392478799
62,25.206133093735,44.4817229120612
63,26.2315188641331,45.6012022792241
64,27.5385908129709,46.9117226284046
65,28.9645598004135,47.9694287968717
66,30.0030229469155,48.924185274835
67,31.3403720632607,50.1215892759293
68,32.4710987739914,51.13664037563
69,33.9118421298045,51.9703882795239
70,35.1570456948887,53.2256076878406
71,36.8883643421305,54.27278918049
72,37.8398798099753,55.1221054912558
73,39.1623415049478,56.5601359119756
74,40.2089099188876,57.7092013824304
75,41.5778557815553,58.9660983293039
76,42.9017548402659,60.0544739686024
77,43.9294845078305,60.987098570773
78,45.4034271918587,62.1969364681075
79,46.8836709131875,63.0503942365955
80,48.0644753719918,64.005421532775
81,49.29216051066,64.8951205653033
82,51.0316570574752,65.9766954912305
83,53.0854480769188,67.184796444441
84,54.2540935513555,67.9727920425889
85,55.6553176709804,68.9009114762456
86,57.7385574867149,70.0894726364908
87,59.1332549191234,70.7838361010595
88,61.4168559539276,71.8150574943335
89,62.7431614509764,72.5056306698752
90,64.1501601104356,73.3654989563173
91,65.3997265636201,74.1019968335385
92,66.9516169267358,75.0094706941612
93,68.0389463355335,75.7891698627342
94,68.8719642985304,76.304538425722
95,70.0028550301825,76.934531605212
96,70.8166344850031,77.4300387234927
97,71.506580709543,77.8830002916508
98,72.1702398021115,78.3187701748749
99,72.8407357792666,78.7747639270823
100,73.6651995124491,79.1699429203328
101,74.0041840652325,79.4301076987337
102,74.0784604008074,79.6345551812658
103,75.0674395127836,80.1014311119307
104,75.6426613978045,80.5601856791886
105,76.3448970480983,81.0349774252527
106,76.9907960442173,81.3971480091971
107,78.1981023957894,81.9809475714048
108,79.0315441792698,82.4334514745455
109,80.1349811609047,83.0077847486326
110,81.1943527845904,83.7132955153397
111,82.4220037166014,84.2881857991696
112,83.352348171168,84.8431303415097
113,84.1459412513396,85.2084989199071
114,85.186962713738,85.8482508372272
115,85.6942016039868,86.2753150374368
116,86.385449733902,86.6814450491589
117,87.5188295129697,87.3097450231925
118,88.4305073946694,87.7723992590236
119,89.8052031683782,88.5042038291363
120,90.6993446651668,88.97457648029
121,91.2440856820364,89.51810119077
122,92.004467518674,89.9700087425245
123,92.3976046305661,90.2955437654461
124,92.9019646885398,90.7132672971951
125,93.1068830895231,90.9307113906914
126,93.7937493466433,91.3388325424237
127,94.1751638370923,91.618936741235
128,94.6970760150394,91.9374524413465
129,94.9109497188935,92.2285062591863
130,95.0551923512285,92.5575250459563
131,95.3320884004188,92.787977040305
132,95.6395036292167,93.0630361686565
133,96.0145385780866,93.4561640030906
134,96.1935009675408,93.7012664040423
135,96.3706675074889,93.895770734337
136,96.5863610055091,94.1059453034924
137,96.9333464954257,94.3825601721316
138,97.0986125393128,94.5250115457188
139,97.1881416233601,94.6893786676451
140,97.2899375567675,94.7670747339582
141,97.3568389370371,94.9305331299627
142,97.536016828432,95.0694078732962
143,97.7172779052541,95.2791905355289
144,97.837599822167,95.3941496479256
145,98.0088793964006,95.5185000917626
146,98.1302788230172,95.7005120822778
147,98.2978196096122,95.7848135822171
148,98.3807160228167,95.9667126424035
149,98.3807160228167,96.0424971954377
150,98.4287011216214,96.1190124463814
151,98.5035521290383,96.2451014700862
152,98.5301019681374,96.3570431633429
153,98.6035162959493,96.4750412054184
154,98.6035162959493,96.5827767392304
155,98.7138772342681,96.6493528004045
156,98.7967736474726,96.70965231277
157,98.8299609463465,96.791962672699
158,98.8299609463465,96.8275852571622
159,98.8461954258822,96.8627455537292
160,98.8461954258822,96.9189280621729
161,98.8567550209784,96.9672503555576
162,98.8567550209784,97.0223537519691
163,98.9709710495704,97.1114432336911
164,99.0474024045527,97.2200610769737
165,99.0856180820439,97.301502996069
166,99.123833759535,97.3414103289192
167,99.1620494370262,97.433266933906
168,99.2264126833271,97.4785612415702
169,99.2813656782157,97.6314200365248
170,99.3048793344164,97.7400563713232
171,99.3430950119075,97.8623447281094
172,99.368572130235,97.9472722979425
173,99.368572130235,98.073252353786
174,99.4450034852173,98.1462410084926
175,99.4450034852173,98.2295717038497
176,99.4832191627084,98.2752094253797
177,99.5580701701253,98.4116636041299
178,99.6167345873266,98.5013362290125
179,99.6881447470897,98.5482802440551
180,99.7263604245809,98.6466749207175
181,99.7263604245809,98.7372833483843
182,99.7263604245809,98.7772448349595
183,99.8232405192734,98.8732078772876
184,99.8487176376008,98.9815549519452
185,99.8487176376008,99.0292960834032
186,99.886933315092,99.0714963642189
187,99.8980915266903,99.154021357814
188,99.9363072041814,99.2669226286611
189,99.9363072041814,99.3003856682374
190,99.9363072041814,99.4174964005856
191,99.9363072041814,99.445709170483
192,99.9363072041814,99.5008733247323
193,99.9745228816726,99.5816270952735
194,99.9745228816726,99.6183459624621
195,99.9745228816726,99.6530835958096
196,100,99.68929790878
197,100,99.7191458570076
198,100,99.7469940798783
199,100,99.7717859193434
200,100,99.8117738223699
201,100,99.8219078334671
202,100,99.8283930722404
203,100,99.8610834306187
204,100,99.8935558532745
205,100,99.9046573668976
206,100,99.9138106672435
207,100,99.930429917114
208,100,99.930429917114
209,100,99.9362207805982
210,100,99.9362207805982
211,100,99.9463547916955
212,100,99.9463547916955
213,100,99.9555080920414
214,100,99.9555080920414
215,100,99.9555080920414
216,100,99.9555080920414
217,100,99.9555080920414
218,100,99.9555080920414
219,100,99.9555080920414
220,100,99.9555080920414
221,100,99.9555080920414
222,100,99.9555080920414
223,100,99.9555080920414
224,100,99.9555080920414
225,100,99.9555080920414
226,100,99.9584205057879
227,100,99.9584205057879
228,100,99.9584205057879
229,100,99.9584205057879
230,100,99.9584205057879
231,100,99.9584205057879
232,100,99.9584205057879
233,100,99.9584205057879
234,100,99.9584205057879
235,100,99.9584205057879
236,100,99.9584205057879
237,100,99.9584205057879
238,100,99.9584205057879
239,100,99.9584205057879
240,100,99.9584205057879
241,100,99.9584205057879
242,100,99.9584205057879
243,100,99.9584205057879
244,100,99.9584205057879
245,100,99.9584205057879
246,100,99.9584205057879
247,100,99.9584205057879
248,100,99.9584205057879
249,100,99.9584205057879
250,100,99.9584205057879
251,100,99.9584205057879
252,100,99.9584205057879
253,100,99.9584205057879
254,100,99.9584205057879
255,100,99.9584205057879
256,100,99.9584205057879
257,100,99.9584205057879
258,100,99.9584205057879
259,100,99.9584205057879
260,100,99.9584205057879
261,100,99.9584205057879
262,100,99.9584205057879
263,100,99.9584205057879
264,100,99.9584205057879
265,100,99.9584205057879
266,100,99.9584205057879
267,100,99.9584205057879
268,100,99.9584205057879
269,100,99.9584205057879
270,100,99.9584205057879
271,100,99.9584205057879
272,100,100
273,100,100
274,100,100
275,100,100
276,100,100
277,100,100
278,100,100
279,100,100
280,100,100
281,100,100
282,100,100
283,100,100
284,100,100
285,100,100
286,100,100
287,100,100
288,100,100
289,100,100
290,100,100
291,100,100
292,100,100
293,100,100
294,100,100
295,100,100
296,100,100
297,100,100
298,100,100
299,100,100
300,100,100
