"spec","scien","FAO_E_COMMON_NAME","FAO_F_COMMON_NAME","type","ORDER_","FAMILY_"
40,"HIPPOGLOSSOIDES PLATESSOIDES","Amer. plaice(=Long rough dab)","Balai (=Plie canadienne)","L","Pleuronectiformes","Pleuronectidae"
10,"GADUS MORHUA","Atlantic cod","Morue de l'Atlantique","L","Gadiformes","Gadidae"
11,"MELANOGRAMMUS AEGLEFINUS","Haddock","Eglefin","L","Gadiformes","Gadidae"
4511,"ILLEX ILLECEBROSUS","Northern shortfin squid","Encornet rouge nordique","L","Teuthida","Ommastrephidae"
14,"MERLUCCIUS BILINEARIS","Silver hake","Merlu argenté","L","Gadiformes","Merlucciidae"
201,"RAJA RADIATA",NA,NA,"L","Rajiformes","Rajidae"
41,"GLYPTOCEPHALUS CYNOGLOSSUS","Witch flounder","Plie cynoglosse","L","Pleuronectiformes","Pleuronectidae"
23,"SEBASTES SP.","Atlantic redfishes nei","Sébastes de l'Atlantique nca","L","Scorpaeniformes","Scorpaenidae"
12,"UROPHYCIS TENUIS","White hake","Merluche blanche","L","Gadiformes","Gadidae"
42,"LIMANDA FERRUGINEA","Yellowtail flounder","Limande à queue jaune","L","Pleuronectiformes","Pleuronectidae"
300,"MYOXOCEPHALUS OCTODECEMSPINOSUS","Longhorn sculpin",NA,"L","Scorpaeniformes","Cottidae"
60,"CLUPEA HARENGUS","Atlantic herring","Hareng de l'Atlantique","L","Clupeiformes","Clupeidae"
16,"POLLACHIUS VIRENS","Saithe(=Pollock)","Lieu noir","L","Gadiformes","Gadidae"
320,"HEMITRIPTERUS AMERICANUS",NA,NA,"L","Scorpaeniformes","Hemitripteridae"
400,"LOPHIUS AMERICANUS","American angler","Baudroie d'Amérique","L","Lophiiformes","Lophiidae"
220,"SQUALUS ACANTHIAS","Picked dogfish","Aiguillat commun","L","Squaliformes","Squalidae"
13,"UROPHYCIS CHUSS","Red hake","Merluche écureuil","L","Gadiformes","Gadidae"
202,"RAJA SENTA",NA,NA,"L","Rajiformes","Rajidae"
50,"ANARHICHAS LUPUS","Atlantic wolffish","Loup atlantique","L","Perciformes","Anarhichadidae"
640,"MACROZOARCES AMERICANUS","Ocean pout","Loquette d'Amérique","L","Perciformes","Zoarcidae"
43,"PSEUDOPLEURONECTES AMERICANUS","Winter flounder","Limande-plie rouge","L","Pleuronectiformes","Pleuronectidae"
30,"HIPPOGLOSSUS HIPPOGLOSSUS","Atlantic halibut","Flétan de l'Atlantique","L","Pleuronectiformes","Pleuronectidae"
2526,"CHIONOECETES OPILIO","Queen crab","Crabe des neiges","S","Decapoda","Oregoniidae"
204,"RAJA OCELLATA",NA,NA,"L","Rajiformes","Rajidae"
304,"TRIGLOPS MURRAYI","Moustache sculpin",NA,"L","Scorpaeniformes","Cottidae"
2550,"HOMARUS AMERICANUS","American lobster","Homard américain","S","Decapoda","Nephropidae"
610,"AMMODYTES DUBIUS",NA,NA,"L","Perciformes","Ammodytidae"
160,"ARGENTINA SILUS","Greater argentine",NA,"L","Osmeriformes","Argentinidae"
340,"ASPIDOPHOROIDES MONOPTERYGIUS",NA,NA,"L","Scorpaeniformes","Agonidae"
2511,"CANCER BOREALIS","Jonah crab","Tourteau jona","S","Decapoda","Cancridae"
62,"ALOSA PSEUDOHARENGUS","Alewife","Gaspareau","L","Clupeiformes","Clupeidae"
112,"PHYCIS CHESTERI","Longfin hake","Merluche à longues nagerois","L","Gadiformes","Gadidae"
15,"BROSME BROSME","Tusk(=Cusk)","Brosme","L","Gadiformes","Gadidae"
31,"REINHARDTIUS HIPPOGLOSSOIDES","Greenland halibut","Flétan noir","L","Pleuronectiformes","Pleuronectidae"
4521,"OCTOPODA O.",NA,NA,"L","Octopoda",NA
241,"MYXINE GLUTINOSA","Hagfish","Myxine","L","Myxiniformes","Myxinidae"
114,"ENCHELYOPUS CIMBRIUS","Fourbeard rockling","Motelle à quatre barbillons","L","Gadiformes","Gadidae"
4321,"PLACOPECTEN MAGELLANICUS","American sea scallop","Pecten d'Amérique","L","Ostreoida","Pectinidae"
203,"RAJA ERINACEA",NA,NA,"L","Rajiformes","Rajidae"
647,"LYCODES VAHLII",NA,NA,"L","Perciformes","Zoarcidae"
64,"MALLOTUS VILLOSUS","Capelin","Capelan","L","Osmeriformes","Osmeridae"
2211,"PANDALUS BOREALIS","Northern prawn","Crevette nordique","S","Decapoda","Pandalidae"
70,"SCOMBER SCOMBRUS","Atlantic mackerel","Maquereau commun","L","Perciformes","Scombridae"
410,"NEZUMIA BAIRDI",NA,NA,"L","Gadiformes","Macrouridae"
2527,"HYAS ARANEUS",NA,NA,"S","Decapoda","Oregoniidae"
2521,"HYAS COARCTATUS",NA,NA,"S","Decapoda","Oregoniidae"
123,"HELICOLENUS DACTYLOPTERUS","Blackbelly rosefish","Sébaste chèvre","L","Scorpaeniformes","Scorpaenidae"
2513,"CANCER IRRORATUS","Atlantic rock crab","Tourteau poïnclos","S","Decapoda","Cancridae"
623,"LUMPENUS MACULATUS",NA,NA,"L","Perciformes","Stichaeidae"
2523,"LITHODES MAJA",NA,NA,"S","Decapoda","Lithodidae"
622,"LUMPENUS LUMPRETAEFORMIS",NA,NA,"L","Perciformes","Stichaeidae"
61,"ALOSA SAPIDISSIMA","American shad","Alose savoureuse","L","Clupeiformes","Clupeidae"
306,"ARTEDIELLUS UNCINATUS",NA,NA,"L","Scorpaeniformes","Cottidae"
701,"PEPRILUS TRIACANTHUS","Atlantic butterfish","Stromaté fossette","L","Perciformes","Stromateidae"
350,"AGONUS DECAGONUS","Atlantic poacher",NA,"L","Scorpaeniformes","Agonidae"
880,"ARTEDIELLUS ATLANTICUS",NA,NA,"L","Scorpaeniformes","Cottidae"
44,"CITHARICHTHYS ARCTIFRONS","Gulf Stream flounder",NA,"L","Pleuronectiformes","Paralichthyidae"
501,"CYCLOPTERUS LUMPUS","Lumpfish(=Lumpsucker)","Lompe","LR","Scorpaeniformes","Cyclopteridae"
502,"EUMICROTREMUS SPINOSUS",NA,NA,"LR","Scorpaeniformes","Cyclopteridae"
19,"MERLUCCIUS ALBIDUS","Offshore silver hake","Merlu argenté du large","LR","Gadiformes","Merlucciidae"
2210,"PANDALUS SP.","Pandalus shrimps nei","Crevettes Pandalus nca","SR","Decapoda","Pandalidae"
712,"NOTOLEPIS RISSOI KROYERI","Spotted barracudina","Barracudine pintade","LR","Aulopiformes","Paralepididae"
200,"RAJA LAEVIS",NA,NA,"LR","Rajiformes","Rajidae"
150,"MYCTOPHIDAE","Lanternfishes nei","Lanternules nca","LR","Myctophiformes","Myctophidae"
625,"ULVARIA SUBBIFURCATA","Radiated shanny",NA,"LR","Perciformes","Stichaeidae"
630,"CRYPTACANTHODES MACULATUS",NA,NA,"LR","Perciformes","Cryptacanthodidae"
642,"LYCODES SP.","Eelpouts","Loquettes","LR","Perciformes","Zoarcidae"
301,"MYOXOCEPHALUS SCORPIUS",NA,NA,"LR","Scorpaeniformes","Cottidae"
143,"SCOPHTHALMUS AQUOSUS","Windowpane flounder","Turbot de sable","LR","Pleuronectiformes","Scophthalmidae"
2600,"EUPHAUSIACEA O.",NA,NA,"LR","Euphausiacea",NA
641,"LYCODES RETICULATUS","Arctic eelpout",NA,"LR","Perciformes","Zoarcidae"
619,"LYCODES TERRAENOVA",NA,NA,NA,NA,NA
323,"ARTEDIELLUS SP.",NA,NA,"LR","Scorpaeniformes","Cottidae"
156,"CHLOROPHTHALMUS AGASSIZI",NA,NA,"LR","Aulopiformes","Chlorophthalmidae"
122,"TAUTOGOLABRUS ADSPERSUS","Cunner","Tanche-tautogue","LR","Perciformes","Labridae"
620,"LYCODES LAVALAEI",NA,NA,"LR","Perciformes","Zoarcidae"
63,"OSMERUS MORDAX","Rainbow smelt","Eperlan arc-en-ciel","LR","Osmeriformes","Osmeridae"
142,"PARALICHTHYS OBLONGUS",NA,NA,"LR","Pleuronectiformes","Paralichthyidae"
314,"ICELUS SPATULA",NA,NA,"LR","Scorpaeniformes","Cottidae"
351,"AGONIDAE F.",NA,NA,"LR","Scorpaeniformes","Agonidae"
646,"MELANOSTIGMA ATLANTICUM","Atlantic soft pout",NA,"LR","Perciformes","Zoarcidae"
17,"MICROGADUS TOMCOD","Atlantic tomcod","Poulamon atlantique","LR","Gadiformes","Gadidae"
149,"PARASUDIS TRUCULENTA",NA,NA,"LR","Aulopiformes","Chlorophthalmidae"
503,"LIPARIS ATLANTICUS",NA,NA,"LR","Scorpaeniformes","Liparidae"
603,"LYCENCHELYS VERRILLI","Wolf eelpout",NA,"LR","Perciformes","Zoarcidae"
307,"COTTUNCULUS MICROPS","Polar sculpin",NA,"LR","Scorpaeniformes","Psychrolutidae"
221,"CENTROSCYLLIUM FABRICII","Black dogfish","Aiguillat noir","LR","Squaliformes","Etmopteridae"
158,"MAUROLICUS MUELLERI","Silvery lightfish",NA,"LR","Stomiiformes","Sternoptychidae"
512,"LIPARIS GIBBUS","Variegated snailfish",NA,"LR","Scorpaeniformes","Liparidae"
720,"SCOMBERESOX SAURUS","Atlantic saury","Balaou atlantique","LR","Beloniformes","Scomberesocidae"
505,"LIPARIS FABRICII",NA,NA,"LR","Scorpaeniformes","Liparidae"
704,"ZENOPSIS OCELLATA",NA,NA,"LR","Zeiformes","Zeidae"
626,"EUMESOGRAMMUS PRAECISUS","Fourline snakeblenny","Quatre-lignes atlantique","LR","Perciformes","Stichaeidae"
2532,"GERYON QUINQUEDENS",NA,NA,"SR","Decapoda","Geryonidae"
4320,"PECTINIDAE F.","Scallops nei","Peignes nca","LR","Ostreoida","Pectinidae"
51,"ANARHICHAS MINOR","Spotted wolffish","Loup tacheté","LR","Perciformes","Anarhichadidae"
303,"MYOXOCEPHALUS AENEUS",NA,NA,"LR","Scorpaeniformes","Cottidae"
412,"TRACHYRHYNCHUS MURRAYI",NA,NA,"LR","Gadiformes","Macrouridae"
621,"PHOLIS GUNNELLUS","Rock gunnel",NA,"LR","Perciformes","Pholidae"
500,"LIPARIS SP.",NA,NA,"LR","Scorpaeniformes","Liparidae"
520,"CAREPROCTUS REINHARDI",NA,NA,"LR","Scorpaeniformes","Liparidae"
604,"NEMICHTHYS SCOLOPACEUS","Slender snipe eel",NA,"LR","Anguilliformes","Nemichthyidae"
52,"ANARHICHAS DENTICULATUS","Northern wolffish","Loup gélatineux","LR","Perciformes","Anarhichadidae"
414,"CORYPHAENOIDES RUPESTRIS","Roundnose grenadier","Grenadier de roche","LR","Gadiformes","Macrouridae"
4512,"LOLIGO PEALEI",NA,NA,"LR","Teuthida","Loliginidae"
4514,"LOLIGINIDAE,OMMASTREPHIDAE F.",NA,NA,NA,NA,NA
159,"STOMIAS BOA FEROX","Boa dragonfish",NA,"LR","Stomiiformes","Stomiidae"
240,"PETROMYZON MARINUS","Sea lamprey","Lamproie marine","LR","Petromyzontiformes","Petromyzontidae"
741,"STERNOPTYCHIDAE F.","Hatchetfishes nei","Haches d'argent nca","LR","Stomiiformes","Sternoptychidae"
816,"SYMPHURUS PTEROSPILOTUS",NA,NA,"LR","Pleuronectiformes","Cynoglossidae"
637,"CALLIONYMUS AGASSIZI",NA,NA,"LR","Perciformes","Callionymidae"
742,"DIBRANCHUS ATLANTICUS",NA,NA,"LR","Lophiiformes","Ogcocephalidae"
341,"ASPIDOPHOROIDES OLRIKI","Arctic alligatorfish",NA,"LR","Scorpaeniformes","Agonidae"
