"spec","ACCEPTED_SCIENT_NAME","FAO_E_COMMON_NAME","FAO_F_COMMON_NAME","type","ORDER_","FAMILY_"
40,"Hippoglossoides platessoides","Amer. plaice(=Long rough dab)","Balai (=Plie canadienne)","L","Pleuronectiformes","Pleuronectidae"
10,"Gadus morhua","Atlantic cod","Morue de l'Atlantique","L","Gadiformes","Gadidae"
11,"Melanogrammus aeglefinus","Haddock","Eglefin","L","Gadiformes","Gadidae"
4511,"Illex illecebrosus","Northern shortfin squid","Encornet rouge nordique","L","Teuthida","Ommastrephidae"
14,"Merluccius bilinearis","Silver hake","Merlu argenté","L","Gadiformes","Merlucciidae"
201,"Amblyraja radiata",NA,NA,"L","Rajiformes","Rajidae"
41,"Glyptocephalus cynoglossus","Witch flounder","Plie cynoglosse","L","Pleuronectiformes","Pleuronectidae"
23,"Sebastes","Atlantic redfishes nei","Sébastes de l'Atlantique nca","L","Scorpaeniformes","Scorpaenidae"
12,"Urophycis tenuis","White hake","Merluche blanche","L","Gadiformes","Gadidae"
42,"Limanda ferruginea","Yellowtail flounder","Limande à queue jaune","L","Pleuronectiformes","Pleuronectidae"
300,"Myoxocephalus octodecemspinosus","Longhorn sculpin",NA,"L","Scorpaeniformes","Cottidae"
60,"Clupea harengus","Atlantic herring","Hareng de l'Atlantique","L","Clupeiformes","Clupeidae"
16,"Pollachius virens","Saithe(=Pollock)","Lieu noir","L","Gadiformes","Gadidae"
320,"Hemitripterus americanus",NA,NA,"L","Scorpaeniformes","Hemitripteridae"
400,"Lophius americanus","American angler","Baudroie d'Amérique","L","Lophiiformes","Lophiidae"
220,"Squalus acanthias","Picked dogfish","Aiguillat commun","L","Squaliformes","Squalidae"
13,"Urophycis chuss","Red hake","Merluche écureuil","L","Gadiformes","Gadidae"
202,"Malacoraja senta",NA,NA,"L","Rajiformes","Rajidae"
50,"Anarhichas lupus","Atlantic wolffish","Loup atlantique","L","Perciformes","Anarhichadidae"
640,"Zoarces americanus","Ocean pout","Loquette d'Amérique","L","Perciformes","Zoarcidae"
43,"Pseudopleuronectes americanus","Winter flounder","Limande-plie rouge","L","Pleuronectiformes","Pleuronectidae"
30,"Hippoglossus hippoglossus","Atlantic halibut","Flétan de l'Atlantique","L","Pleuronectiformes","Pleuronectidae"
2526,"Chionoecetes opilio","Queen crab","Crabe des neiges","S","Decapoda","Oregoniidae"
204,"Leucoraja ocellata",NA,NA,"L","Rajiformes","Rajidae"
304,"Triglops murrayi","Moustache sculpin",NA,"L","Scorpaeniformes","Cottidae"
2550,"Homarus americanus","American lobster","Homard américain","S","Decapoda","Nephropidae"
610,"Ammodytes dubius",NA,NA,"L","Perciformes","Ammodytidae"
160,"Argentina silus","Greater argentine",NA,"L","Osmeriformes","Argentinidae"
340,"Aspidophoroides monopterygius",NA,NA,"L","Scorpaeniformes","Agonidae"
2511,"Cancer borealis","Jonah crab","Tourteau jona","S","Decapoda","Cancridae"
62,"Alosa pseudoharengus","Alewife","Gaspareau","L","Clupeiformes","Clupeidae"
112,"Phycis chesteri","Longfin hake","Merluche à longues nagerois","L","Gadiformes","Gadidae"
15,"Brosme brosme","Tusk(=Cusk)","Brosme","L","Gadiformes","Gadidae"
31,"Reinhardtius hippoglossoides","Greenland halibut","Flétan noir","L","Pleuronectiformes","Pleuronectidae"
4521,"Octopoda",NA,NA,"L","Octopoda",NA
241,"Myxine glutinosa","Hagfish","Myxine","L","Myxiniformes","Myxinidae"
114,"Enchelyopus cimbrius","Fourbeard rockling","Motelle à quatre barbillons","L","Gadiformes","Gadidae"
4321,"Placopecten magellanicus","American sea scallop","Pecten d'Amérique","L","Ostreoida","Pectinidae"
203,"Leucoraja erinacea",NA,NA,"L","Rajiformes","Rajidae"
647,"Lycodes vahlii",NA,NA,"L","Perciformes","Zoarcidae"
64,"Mallotus villosus","Capelin","Capelan","L","Osmeriformes","Osmeridae"
2211,"Pandalus borealis","Northern prawn","Crevette nordique","S","Decapoda","Pandalidae"
70,"Scomber scombrus","Atlantic mackerel","Maquereau commun","L","Perciformes","Scombridae"
410,"Nezumia bairdii",NA,NA,"L","Gadiformes","Macrouridae"
2527,"Hyas araneus",NA,NA,"S","Decapoda","Oregoniidae"
2521,"Hyas coarctatus",NA,NA,"S","Decapoda","Oregoniidae"
123,"Helicolenus dactylopterus","Blackbelly rosefish","Sébaste chèvre","L","Scorpaeniformes","Scorpaenidae"
2513,"Cancer irroratus","Atlantic rock crab","Tourteau poïnclos","S","Decapoda","Cancridae"
623,"Leptoclinus maculatus",NA,NA,"L","Perciformes","Stichaeidae"
2523,"Lithodes maja",NA,NA,"S","Decapoda","Lithodidae"
622,"Lumpenus lampretaeformis",NA,NA,"L","Perciformes","Stichaeidae"
61,"Alosa sapidissima","American shad","Alose savoureuse","L","Clupeiformes","Clupeidae"
306,"Artediellus uncinatus",NA,NA,"L","Scorpaeniformes","Cottidae"
701,"Peprilus triacanthus","Atlantic butterfish","Stromaté fossette","L","Perciformes","Stromateidae"
350,"Leptagonus decagonus","Atlantic poacher",NA,"L","Scorpaeniformes","Agonidae"
880,"Artediellus atlanticus",NA,NA,"L","Scorpaeniformes","Cottidae"
44,"Citharichthys arctifrons","Gulf Stream flounder",NA,"L","Pleuronectiformes","Paralichthyidae"
501,"Cyclopterus lumpus","Lumpfish(=Lumpsucker)","Lompe","LR","Scorpaeniformes","Cyclopteridae"
502,"Eumicrotremus spinosus",NA,NA,"LR","Scorpaeniformes","Cyclopteridae"
19,"Merluccius albidus","Offshore silver hake","Merlu argenté du large","LR","Gadiformes","Merlucciidae"
2210,"Pandalus","Pandalus shrimps nei","Crevettes Pandalus nca","SR","Decapoda","Pandalidae"
712,"Arctozenus risso","Spotted barracudina","Barracudine pintade","LR","Aulopiformes","Paralepididae"
200,"Dipturus laevis",NA,NA,"LR","Rajiformes","Rajidae"
150,"Myctophidae","Lanternfishes nei","Lanternules nca","LR","Myctophiformes","Myctophidae"
625,"Ulvaria subbifurcata","Radiated shanny",NA,"LR","Perciformes","Stichaeidae"
630,"Cryptacanthodes maculatus",NA,NA,"LR","Perciformes","Cryptacanthodidae"
642,"Lycodes","Eelpouts","Loquettes","LR","Perciformes","Zoarcidae"
301,"Myoxocephalus scorpius",NA,NA,"LR","Scorpaeniformes","Cottidae"
143,"Scophthalmus aquosus","Windowpane flounder","Turbot de sable","LR","Pleuronectiformes","Scophthalmidae"
2600,"Euphausiacea",NA,NA,"LR","Euphausiacea",NA
641,"Lycodes reticulatus","Arctic eelpout",NA,"LR","Perciformes","Zoarcidae"
619,NA,NA,NA,NA,NA,NA
323,"Artediellus",NA,NA,"LR","Scorpaeniformes","Cottidae"
156,"Chlorophthalmus agassizi",NA,NA,"LR","Aulopiformes","Chlorophthalmidae"
122,"Tautogolabrus adspersus","Cunner","Tanche-tautogue","LR","Perciformes","Labridae"
620,"Lycodes lavalaei",NA,NA,"LR","Perciformes","Zoarcidae"
63,"Osmerus mordax","Rainbow smelt","Eperlan arc-en-ciel","LR","Osmeriformes","Osmeridae"
142,"Hippoglossina oblonga",NA,NA,"LR","Pleuronectiformes","Paralichthyidae"
314,"Icelus spatula",NA,NA,"LR","Scorpaeniformes","Cottidae"
351,"Agonidae",NA,NA,"LR","Scorpaeniformes","Agonidae"
646,"Melanostigma atlanticum","Atlantic soft pout",NA,"LR","Perciformes","Zoarcidae"
17,"Microgadus tomcod","Atlantic tomcod","Poulamon atlantique","LR","Gadiformes","Gadidae"
149,"Parasudis truculenta",NA,NA,"LR","Aulopiformes","Chlorophthalmidae"
503,"Liparis atlanticus",NA,NA,"LR","Scorpaeniformes","Liparidae"
603,"Lycenchelys verrillii","Wolf eelpout",NA,"LR","Perciformes","Zoarcidae"
307,"Cottunculus microps","Polar sculpin",NA,"LR","Scorpaeniformes","Psychrolutidae"
221,"Centroscyllium fabricii","Black dogfish","Aiguillat noir","LR","Squaliformes","Etmopteridae"
158,"Maurolicus muelleri","Silvery lightfish",NA,"LR","Stomiiformes","Sternoptychidae"
512,"Liparis gibbus","Variegated snailfish",NA,"LR","Scorpaeniformes","Liparidae"
720,"Scomberesox saurus","Atlantic saury","Balaou atlantique","LR","Beloniformes","Scomberesocidae"
505,"Liparis fabricii",NA,NA,"LR","Scorpaeniformes","Liparidae"
704,"Zenopsis conchifera",NA,NA,"LR","Zeiformes","Zeidae"
626,"Eumesogrammus praecisus","Fourline snakeblenny","Quatre-lignes atlantique","LR","Perciformes","Stichaeidae"
2532,"Chaceon quinquedens",NA,NA,"SR","Decapoda","Geryonidae"
4320,"Pectinidae","Scallops nei","Peignes nca","LR","Ostreoida","Pectinidae"
51,"Anarhichas minor","Spotted wolffish","Loup tacheté","LR","Perciformes","Anarhichadidae"
303,"Myoxocephalus aenaeus",NA,NA,"LR","Scorpaeniformes","Cottidae"
412,"Trachyrincus murrayi",NA,NA,"LR","Gadiformes","Macrouridae"
621,"Pholis gunnellus","Rock gunnel",NA,"LR","Perciformes","Pholidae"
500,"Liparis",NA,NA,"LR","Scorpaeniformes","Liparidae"
520,"Careproctus reinhardti",NA,NA,"LR","Scorpaeniformes","Liparidae"
604,"Nemichthys scolopaceus","Slender snipe eel",NA,"LR","Anguilliformes","Nemichthyidae"
52,"Anarhichas denticulatus","Northern wolffish","Loup gélatineux","LR","Perciformes","Anarhichadidae"
414,"Coryphaenoides rupestris","Roundnose grenadier","Grenadier de roche","LR","Gadiformes","Macrouridae"
4512,"Loligo pealeii",NA,NA,"LR","Teuthida","Loliginidae"
4514,NA,NA,NA,NA,NA,NA
159,"Stomias boa","Boa dragonfish",NA,"LR","Stomiiformes","Stomiidae"
240,"Petromyzon marinus","Sea lamprey","Lamproie marine","LR","Petromyzontiformes","Petromyzontidae"
741,"Sternoptychidae","Hatchetfishes nei","Haches d'argent nca","LR","Stomiiformes","Sternoptychidae"
816,"Symphurus diomedeanus",NA,NA,"LR","Pleuronectiformes","Cynoglossidae"
637,"Foetorepus agassizii",NA,NA,"LR","Perciformes","Callionymidae"
742,"Dibranchus atlanticus",NA,NA,"LR","Lophiiformes","Ogcocephalidae"
341,"Ulcina olrikii","Arctic alligatorfish",NA,"LR","Scorpaeniformes","Agonidae"
